,feature,importance
201,remainder__Set7_Swiftshot,0.0019107488994029947
53,cat_encoder__TFT7_Hecarim_item2,0.0018504141306158173
79,cat_encoder__TFT7_Lulu_item1,0.0018332659059834603
207,remainder__TFT7_Anivia,0.001798780837185313
118,cat_encoder__TFT7_Shen_item1,0.0017820434880175058
7,cat_encoder__TFT7_Anivia_item1,0.0017442085215837397
122,cat_encoder__TFT7_Shyvana_item2,0.0016935224669505148
90,cat_encoder__TFT7_Nunu_item0,0.0016875890904074734
230,remainder__TFT7_Lillia,0.0016867116219129862
228,remainder__TFT7_LeeSin,0.001685010823830953
6,cat_encoder__TFT7_Anivia_item0,0.0016821924136734667
254,remainder__TFT7_Thresh,0.0016758288606792656
128,cat_encoder__TFT7_Sona_item2,0.001663903801647381
108,cat_encoder__TFT7_Sejuani_item0,0.0016568293649136515
12,cat_encoder__TFT7_Ashe_item0,0.0016160706170541372
21,cat_encoder__TFT7_Braum_item0,0.0016020820944011563
82,cat_encoder__TFT7_Nami_item1,0.0016015709261838168
31,cat_encoder__TFT7_DragonBlue_item1,0.0015595868470325124
30,cat_encoder__TFT7_DragonBlue_item0,0.0015519830910732868
120,cat_encoder__TFT7_Shyvana_item0,0.0015393039377164172
176,cat_encoder__TFT7_Zoe_item1,0.0015377459057930732
42,cat_encoder__TFT7_Elise_item0,0.0015376126414847298
91,cat_encoder__TFT7_Nunu_item1,0.0015097906884423856
147,cat_encoder__TFT7_Thresh_item0,0.0015089437563077384
69,cat_encoder__TFT7_LeeSin_item0,0.0014434878421350182
158,cat_encoder__TFT7_Varus_item1,0.001442838136044325
151,cat_encoder__TFT7_Tristana_item0,0.0014083133906419906
83,cat_encoder__TFT7_Nami_item2,0.0013897767911597262
11,cat_encoder__TFT7_AoShin_item2,0.0013880334341896167
95,cat_encoder__TFT7_Olaf_item2,0.0013846095800454327
121,cat_encoder__TFT7_Shyvana_item1,0.0013795567080470412
28,cat_encoder__TFT7_Diana_item1,0.00131102243952513
157,cat_encoder__TFT7_Varus_item0,0.0013090117387214123
103,cat_encoder__TFT7_Qiyana_item1,0.0012853005732054586
155,cat_encoder__TFT7_Twitch_item1,0.0012731076865038445
94,cat_encoder__TFT7_Olaf_item1,0.0012630877816061426
27,cat_encoder__TFT7_Diana_item0,0.0012617594365464497
93,cat_encoder__TFT7_Olaf_item0,0.0012477412283934252
10,cat_encoder__TFT7_AoShin_item1,0.0012472717465112726
209,remainder__TFT7_Ashe,0.0012100286943001405
75,cat_encoder__TFT7_Lillia_item0,0.0012046623291130155
226,remainder__TFT7_Karma,0.0011607488264470903
89,cat_encoder__TFT7_Nidalee_item2,0.001153481871178677
63,cat_encoder__TFT7_Karma_item0,0.0011398326215712397
9,cat_encoder__TFT7_AoShin_item0,0.0011209961637858533
182,remainder__Set7_Cannoneer,0.0011113984134318844
253,remainder__TFT7_Taric,0.001068395990940122
179,remainder__Set7_Astral,0.0010496100280254438
105,cat_encoder__TFT7_Ryze_item0,0.001038867742793439
258,remainder__TFT7_Varus,0.0010332006614431866
132,cat_encoder__TFT7_Swain_item0,0.001029031473698312
152,cat_encoder__TFT7_Tristana_item1,0.0010086618713802615
212,remainder__TFT7_Braum,0.0010068770151790464
87,cat_encoder__TFT7_Nidalee_item0,0.0009755497073347673
203,remainder__Set7_Trainer,0.0009702967014682456
13,cat_encoder__TFT7_Ashe_item1,0.0009702869470777411
43,cat_encoder__TFT7_Elise_item1,0.000970255463706105
174,cat_encoder__TFT7_Yone_item2,0.0009690473779653895
88,cat_encoder__TFT7_Nidalee_item1,0.0009336028226360793
177,cat_encoder__TFT7_Zoe_item2,0.000928602384285979
130,cat_encoder__TFT7_Soraka_item1,0.00092302477635939
60,cat_encoder__TFT7_Jinx_item0,0.0009068916388507132
19,cat_encoder__TFT7_Bard_item1,0.0008965049527929575
107,cat_encoder__TFT7_Ryze_item2,0.0008789688377388025
106,cat_encoder__TFT7_Ryze_item1,0.0008494900137674274
172,cat_encoder__TFT7_Yone_item0,0.0008483908197158963
210,remainder__TFT7_AurelionSol,0.0008472270742096224
49,cat_encoder__TFT7_Gnar_item1,0.0008450676332308484
70,cat_encoder__TFT7_LeeSin_item1,0.0008283565854941786
22,cat_encoder__TFT7_Braum_item1,0.0008060837216859642
54,cat_encoder__TFT7_Heimerdinger_item0,0.0007938967095528923
44,cat_encoder__TFT7_Elise_item2,0.0007925140187175305
74,cat_encoder__TFT7_Leona_item2,0.0007911394346281783
246,remainder__TFT7_Skarner,0.0007887501902847445
72,cat_encoder__TFT7_Leona_item0,0.0007874349084980526
256,remainder__TFT7_Tristana,0.0007750992030018228
133,cat_encoder__TFT7_Swain_item1,0.0007513512637150061
134,cat_encoder__TFT7_Swain_item2,0.0007393346408832449
223,remainder__TFT7_Heimerdinger,0.0007333690853734465
114,cat_encoder__TFT7_Sett_item0,0.0007119952799753501
243,remainder__TFT7_Sett,0.0007020758430222977
76,cat_encoder__TFT7_Lillia_item1,0.0006913743514371207
196,remainder__Set7_Scalescorn,0.000675156809255313
64,cat_encoder__TFT7_Karma_item1,0.0006635951984092977
173,cat_encoder__TFT7_Yone_item1,0.0006571700733915335
80,cat_encoder__TFT7_Lulu_item2,0.0006498900103888725
71,cat_encoder__TFT7_LeeSin_item2,0.0006497848757881623
163,cat_encoder__TFT7_Volibear_item0,0.0006363447081193361
119,cat_encoder__TFT7_Shen_item2,0.0006312540453702795
144,cat_encoder__TFT7_Taric_item0,0.0005975008827871363
225,remainder__TFT7_Jinx,0.0005817005586655893
153,cat_encoder__TFT7_Tristana_item2,0.0005726292114197482
77,cat_encoder__TFT7_Lillia_item2,0.0005457835727256805
73,cat_encoder__TFT7_Leona_item1,0.0005389729293027184
160,cat_encoder__TFT7_Vladimir_item0,0.0005187573549160129
227,remainder__TFT7_Kayn,0.0005181098128223795
66,cat_encoder__TFT7_Kayn_item0,0.0005100815648631704
220,remainder__TFT7_Ezreal,0.0004939702051531531
104,cat_encoder__TFT7_Qiyana_item2,0.0004914307190781016
259,remainder__TFT7_Vladimir,0.0004699250333899896
164,cat_encoder__TFT7_Volibear_item1,0.00046954605171330524
65,cat_encoder__TFT7_Karma_item2,0.00046589103387590925
61,cat_encoder__TFT7_Jinx_item1,0.00044337462033693597
138,cat_encoder__TFT7_TahmKench_item0,0.0004315827197948912
165,cat_encoder__TFT7_Volibear_item2,0.0004264060356533429
123,cat_encoder__TFT7_Skarner_item0,0.0004184212111254032
148,cat_encoder__TFT7_Thresh_item1,0.0004134371797115218
23,cat_encoder__TFT7_Braum_item2,0.0004092844507202
50,cat_encoder__TFT7_Gnar_item2,0.0003995857576436933
45,cat_encoder__TFT7_Ezreal_item0,0.00037748290534410963
124,cat_encoder__TFT7_Skarner_item1,0.00035582879322246187
131,cat_encoder__TFT7_Soraka_item2,0.0003490128492190537
20,cat_encoder__TFT7_Bard_item2,0.000347829133855049
156,cat_encoder__TFT7_Twitch_item2,0.00033600917001053393
14,cat_encoder__TFT7_Ashe_item2,0.00033061158639933927
115,cat_encoder__TFT7_Sett_item1,0.0003280420948799626
109,cat_encoder__TFT7_Sejuani_item1,0.0003124417845572738
62,cat_encoder__TFT7_Jinx_item2,0.0003120255914737877
116,cat_encoder__TFT7_Sett_item2,0.00029708957508855284
145,cat_encoder__TFT7_Taric_item1,0.000279017393646943
251,remainder__TFT7_TahmKench,0.0002709094471421206
46,cat_encoder__TFT7_Ezreal_item1,0.0002604520236904677
125,cat_encoder__TFT7_Skarner_item2,0.0002531698629009652
234,remainder__TFT7_Nidalee,0.0002454990181990363
146,cat_encoder__TFT7_Taric_item2,0.0002424583154079748
67,cat_encoder__TFT7_Kayn_item1,0.0002393476686640714
139,cat_encoder__TFT7_TahmKench_item1,0.00023301671670225593
15,cat_encoder__TFT7_AurelionSol_item0,0.00023064185474000348
161,cat_encoder__TFT7_Vladimir_item1,0.00022643003452179516
16,cat_encoder__TFT7_AurelionSol_item1,0.00021973407643197348
190,remainder__Set7_Legend,0.00018494803079733123
162,cat_encoder__TFT7_Vladimir_item2,0.00017715098584248878
47,cat_encoder__TFT7_Ezreal_item2,0.0001754361424909094
17,cat_encoder__TFT7_AurelionSol_item2,0.00017183700993560587
3,cat_encoder__TFT7_Aatrox_item0,0.0001716284080262944
206,remainder__TFT7_Aatrox,0.00016552001442258037
150,cat_encoder__TFT7_TrainerDragon_item0,0.00015226888982696336
149,cat_encoder__TFT7_Thresh_item2,0.00014349633631469277
140,cat_encoder__TFT7_TahmKench_item2,0.000140785037658487
55,cat_encoder__TFT7_Heimerdinger_item1,0.00012371389164068873
68,cat_encoder__TFT7_Kayn_item2,0.00012250407538063016
110,cat_encoder__TFT7_Sejuani_item2,0.00011972452356165479
4,cat_encoder__TFT7_Aatrox_item1,0.00011141377461985028
242,remainder__TFT7_Senna,0.00010483617754685391
111,cat_encoder__TFT7_Senna_item0,8.322904562343743e-05
56,cat_encoder__TFT7_Heimerdinger_item2,4.796643545886301e-05
113,cat_encoder__TFT7_Senna_item2,2.7073973163618324e-05
112,cat_encoder__TFT7_Senna_item1,2.4148352287448843e-05
5,cat_encoder__TFT7_Aatrox_item2,1.987697917611368e-05
200,remainder__Set7_Starcaller,0.0
199,remainder__Set7_SpellThief,0.0
180,remainder__Set7_Bard,0.0
